neighbourhood,type,E,H,geothermal,TEO,HT,MT,LT,undefined,backup,undecided,useful_heat,heat_reduction
total,residences,388523198.8604713,5862081.900814294,15968082.769129558,0.0,17889168.346031096,0.0,3043062.2031440474,13482.655462184874,13473287.790579498,0.0,86154374.12550041,5017612.874499653
total,utility,274167156.4865309,622902.7628114492,4502942.000055011,0.0,4585312.092577629,0.0,890788.9185897905,17544.47617113732,3649836.145750477,5169.038467639001,18784327.82140515,2148919.9403243577
BU03072006,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03072006,utility,14134.153846019999,,,,,,,,,361.38461592000004,361.38461592000004,0.0
BU03073104,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03073104,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03211050,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03211050,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03211151,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03211151,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03211252,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03211252,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03211353,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03211353,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03212054,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03212054,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03212057,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03212057,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03960201,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03960201,utility,6238.076921999999,,,,,,,,,137.30769255,137.30769255,0.0
BU03960401,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03960401,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03960408,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03960408,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03960607,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03960607,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU04730401,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04730401,utility,9190.96154094,,,,,,,,,367.63846174500003,367.63846174500003,0.0
BU04893052,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04893052,utility,6101.307692550001,,,,,,,,,174.46153851,174.46153851,0.0
BU04895073,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04895073,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU04895075,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04895075,utility,18174.0,,,,,,,,,774.2769232919999,774.2769232919999,0.0
BU04895078,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04895078,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU04895081,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04895081,utility,59413.84615196,,,,,,,,,1603.23077206,1603.23077206,0.0
BU05020110,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020110,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020447,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020447,utility,10675.9692347,,,,,,,,,180.815384694,180.815384694,0.0
BU05020662,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020662,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020665,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020665,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020995,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020995,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020996,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020996,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05031100,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05031100,utility,135.58461539,,,,,,,,,2.4769230779999996,2.4769230779999996,0.0
BU05032205,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05032205,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05050706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05050706,utility,1094.361538505,,,,,,,,,20.861538505,20.861538505,0.0
BU05051112,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05051112,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05184209,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05184209,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05992650,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05992650,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06030772,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06030772,utility,1354.95384662,,,,,,,,,19.423076891999997,19.423076891999997,0.0
BU06100402,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06100402,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06100405,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06100405,utility,6353.107692560001,,,,,,,,,353.230768928,353.230768928,0.0
BU06130706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06130706,utility,10238.400000971998,,,,,,,,,680.4000019440001,680.4000019440001,0.0
BU06420103,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420103,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06420105,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420105,utility,7202.492307119999,,,,,,,,,145.93846179599998,145.93846179599998,0.0
BU06420204,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420204,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06420409,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420409,utility,6912.06923022,,,,,,,,,225.184615467,225.184615467,0.0
BU06420706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420706,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640101,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06640101,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640103,residences,0.0,,,,,,,,,0,0,0.0
BU06640103,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640107,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06640107,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640111,residences,0.0,,,,,,,,,0,0,0.0
BU06640111,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06870503,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06870503,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07180702,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07180702,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07370501,residences,0.0,,,,,,,,,0,0,0.0
BU07370501,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16212254,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16212254,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16212644,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16212644,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU18920210,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU18920210,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040210,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040210,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040304,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040304,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040305,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040305,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040803,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040803,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040907,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040907,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19041004,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19041004,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19610502,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19610502,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690000,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690000,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690001,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690001,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690002,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690002,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690006,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690006,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690007,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690007,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690008,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690008,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690009,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690009,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690100,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690100,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690109,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690109,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690200,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690200,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690201,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690201,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690202,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690202,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690209,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690209,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690300,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690300,utility,0.0,,,,,,,,,0.0,0.0,0.0
